,DISTRICT,Year,BLANK,CON,DEM,GRE,IND,OTH,REF,REP,WEP,WOR
105,22,2015,90.0,95.0,92.0,89.0,91.0,91.0,100.0,95.0,0.0,88.0
106,22,2016,87.0,92.0,90.0,85.0,89.0,85.0,100.0,93.0,98.0,85.0
107,22,2018,90.0,93.0,92.0,89.0,91.0,88.0,89.0,94.0,86.0,87.0
108,23,2014,89.0,94.0,91.0,87.0,90.0,82.0,0.0,94.0,0.0,87.0
109,23,2015,91.0,95.0,93.0,91.0,92.0,87.0,0.0,95.0,100.0,89.0
110,23,2016,88.0,93.0,91.0,88.0,89.0,84.0,100.0,93.0,98.0,86.0
111,23,2017,93.0,95.0,95.0,92.0,94.0,91.0,99.0,96.0,95.0,93.0
112,23,2018,90.0,94.0,92.0,88.0,91.0,89.0,92.0,95.0,91.0,90.0
113,24,2014,90.0,93.0,91.0,88.0,90.0,89.0,0.0,94.0,0.0,86.0
114,24,2015,91.0,94.0,91.0,89.0,91.0,90.0,100.0,95.0,0.0,88.0
115,24,2016,89.0,93.0,90.0,87.0,89.0,86.0,100.0,94.0,97.0,86.0
116,24,2017,92.0,95.0,93.0,90.0,92.0,91.0,98.0,95.0,92.0,88.0
117,24,2018,89.0,93.0,90.0,87.0,90.0,88.0,90.0,93.0,90.0,85.0
118,25,2014,94.0,96.0,93.0,92.0,94.0,92.0,0.0,96.0,0.0,90.0
119,25,2015,94.0,96.0,93.0,92.0,94.0,92.0,0.0,96.0,0.0,90.0
120,25,2016,92.0,95.0,91.0,90.0,92.0,89.0,100.0,94.0,97.0,88.0
121,25,2017,95.0,97.0,95.0,93.0,95.0,94.0,100.0,97.0,95.0,94.0
122,25,2018,93.0,95.0,92.0,88.0,93.0,91.0,93.0,95.0,90.0,91.0
123,26,2014,90.0,95.0,93.0,91.0,92.0,90.0,0.0,94.0,0.0,88.0
124,26,2015,92.0,96.0,94.0,90.0,93.0,90.0,0.0,95.0,0.0,90.0
125,26,2016,90.0,95.0,92.0,89.0,92.0,88.0,100.0,94.0,100.0,90.0
126,26,2017,91.0,96.0,93.0,91.0,92.0,90.0,99.0,95.0,94.0,90.0
127,26,2018,90.0,95.0,92.0,90.0,92.0,90.0,93.0,94.0,90.0,89.0
128,27,2014,93.0,96.0,94.0,92.0,93.0,94.0,0.0,95.0,0.0,92.0
129,27,2015,94.0,97.0,95.0,91.0,95.0,94.0,0.0,96.0,100.0,93.0
130,27,2016,94.0,96.0,95.0,92.0,94.0,93.0,100.0,96.0,100.0,93.0
131,27,2017,95.0,97.0,96.0,94.0,96.0,95.0,100.0,97.0,97.0,94.0
132,27,2018,94.0,96.0,95.0,93.0,95.0,94.0,100.0,96.0,93.0,93.0
