,DISTRICT,STATUS,Year,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,WEP,REF
141,10,Inactive,2015,37668,8704,150,129,2653,131,48,15481,0.0,0.0
142,10,Inactive,2016,31602,7255,129,109,2316,109,39,13073,0.0,0.0
143,10,Inactive,2017,33922,8548,144,112,2521,127,45,14369,3.0,0.0
144,10,Inactive,2018,38988,9685,177,114,2749,143,57,16564,9.0,0.0
145,10,Total,2014,271719,52175,1393,830,12906,769,205,86222,0.0,0.0
146,10,Total,2015,266232,51134,1351,820,12593,835,205,86374,0.0,0.0
147,10,Total,2016,259107,48895,1242,712,11877,779,195,82691,37.0,1.0
148,10,Total,2017,288840,56347,1326,666,12259,862,238,95370,94.0,11.0
149,10,Total,2018,286611,55611,1305,684,12036,886,209,96482,137.0,24.0
150,11,Active,2014,181049,101831,5370,1429,12656,494,135,79265,0.0,0.0
151,11,Active,2015,176520,99093,5255,1426,12453,564,139,79806,0.0,0.0
152,11,Active,2016,173003,97665,5290,1410,12186,578,138,78946,39.0,16.0
153,11,Active,2017,187124,111509,5152,1374,12878,647,160,86647,107.0,30.0
154,11,Active,2018,183564,110062,5299,1362,12817,654,137,88130,168.0,67.0
155,11,Inactive,2014,10798,5157,277,103,787,28,3,5039,0.0,0.0
156,11,Inactive,2015,15384,6873,363,174,1101,39,10,7280,0.0,0.0
157,11,Inactive,2016,13338,5808,309,146,955,36,10,6229,0.0,0.0
158,11,Inactive,2017,15683,7349,399,155,1151,59,12,7474,0.0,1.0
159,11,Inactive,2018,16846,7921,409,187,1259,69,19,8107,5.0,2.0
160,11,Total,2014,191847,106988,5647,1532,13443,522,138,84304,0.0,0.0
161,11,Total,2015,191904,105966,5618,1600,13554,603,149,87086,0.0,0.0
162,11,Total,2016,186341,103473,5599,1556,13141,614,148,85175,39.0,16.0
163,11,Total,2017,202807,118858,5551,1529,14029,706,172,94121,107.0,31.0
164,11,Total,2018,200410,117983,5708,1549,14076,723,156,96237,173.0,69.0
165,12,Active,2014,245977,56739,1020,735,15732,1093,249,85033,0.0,0.0
166,12,Active,2015,229946,52446,967,741,14494,1034,220,80126,0.0,0.0
167,12,Active,2016,235199,52609,938,707,14146,985,218,81076,40.0,10.0
168,12,Active,2017,268093,57508,916,613,14348,1056,258,94003,95.0,25.0
169,12,Active,2018,259877,54431,883,622,13703,1009,210,91923,128.0,32.0
170,12,Inactive,2014,35086,10144,138,92,2909,187,62,15956,0.0,0.0
171,12,Inactive,2015,43508,12103,179,130,3733,261,73,20006,0.0,0.0
172,12,Inactive,2016,36048,9948,159,118,3060,203,67,16393,0.0,0.0
