Year,DOMINANT_PARTY,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL,WEP,REF,DOMINANT_PERCENTAGE,Flipped
2014,DEM,156588,149770,9022,2316,24384,1391,341,111682,455494,0.0,0.0,34.38,1
2015,DEM,151262,145428,9052,2266,23966,1456,400,110775,444607,0.0,2.0,34.02,0
2016,DEM,154839,145731,9217,2284,24102,1512,415,113485,451634,33.0,16.0,34.28,0
2017,DEM,157564,148693,8999,2146,24026,1539,512,113873,457492,90.0,50.0,34.44,0
2018,DEM,159281,148098,9012,2169,24493,1605,595,116151,461628,163.0,61.0,34.5,0
2014,DEM,182205,127197,7923,1607,20703,1172,436,105422,446665,0.0,0.0,40.79,0
2015,DEM,177801,123818,7957,1594,20542,1238,473,104808,438231,0.0,0.0,40.57,0
2016,DEM,185356,125655,8101,1627,20942,1259,501,108374,451850,31.0,4.0,41.02,0
2017,DEM,190307,127870,7778,1543,20575,1300,622,109041,459178,112.0,30.0,41.45,0
2018,DEM,193361,127271,7804,1550,20910,1338,668,111405,464535,182.0,46.0,41.62,0
2014,DEM,258486,97372,8011,2729,20564,1216,333,74207,462918,0.0,0.0,55.84,0
2015,DEM,250372,94127,8065,2708,20357,1332,349,74281,451591,0.0,0.0,55.44,0
2016,DEM,252684,94639,8249,2821,20618,1424,361,77891,458765,53.0,25.0,55.08,0
2017,DEM,258513,97946,8017,2721,20762,1480,450,81634,471716,125.0,68.0,54.8,0
2018,DEM,254235,96127,7913,2656,20757,1506,491,82730,466723,214.0,94.0,54.47,0
2014,REP,150218,186679,12725,2514,26002,1152,340,97133,476763,0.0,0.0,39.16,1
2015,REP,145916,183068,13010,2517,26012,1213,375,97350,469462,1.0,0.0,39.0,0
2016,REP,148022,185078,13395,2567,26239,1316,472,100161,477290,25.0,15.0,38.78,0
2017,REP,150753,191859,13256,2458,26619,1381,573,102141,489151,60.0,51.0,39.22,0
2018,REP,149986,191600,13375,2464,26958,1439,669,104178,490852,110.0,73.0,39.03,0
