DISTRICT,PARTY,Year,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27
STATUS,,,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total
18,WOR,2017,2100.0,91.0,2191.0,1724.0,87.0,1811.0,1234.0,42.0,1276.0,1384.0,21.0,1405.0,1224.0,114.0,1338.0,868.0,69.0,937.0,1413.0,193.0,1606.0,1663.0,230.0,1893.0,1472.0,262.0,1734.0,554.0,112.0,666.0,1374.0,155.0,1529.0,613.0,122.0,735.0,1242.0,294.0,1536.0,972.0,147.0,1119.0,1501.0,357.0,1858.0,1177.0,190.0,1367.0,1440.0,113.0,1553.0,1811.0,123.0,1934.0,2188.0,181.0,2369.0,2080.0,293.0,2373.0,1625.0,191.0,1816.0,,,,2023.0,160.0,2183.0,1893.0,253.0,2146.0,1447.0,96.0,1543.0,2447.0,274.0,2721.0,2308.0,150.0,2458.0
19,WOR,2018,2066.0,130.0,2196.0,1712.0,119.0,1831.0,1193.0,69.0,1262.0,1286.0,119.0,1405.0,1251.0,126.0,1377.0,849.0,77.0,926.0,1369.0,219.0,1588.0,1666.0,271.0,1937.0,1474.0,257.0,1731.0,570.0,114.0,684.0,1362.0,187.0,1549.0,622.0,136.0,758.0,1235.0,304.0,1539.0,993.0,145.0,1138.0,1509.0,393.0,1902.0,1140.0,181.0,1321.0,1393.0,134.0,1527.0,1764.0,196.0,1960.0,2155.0,245.0,2400.0,2098.0,353.0,2451.0,1589.0,245.0,1834.0,1818.0,262.0,2080.0,1986.0,232.0,2218.0,1844.0,325.0,2169.0,1404.0,146.0,1550.0,2372.0,284.0,2656.0,2299.0,165.0,2464.0
20,IND,2014,22918.0,1374.0,24292.0,17758.0,817.0,18575.0,19469.0,670.0,20139.0,17793.0,429.0,18222.0,8526.0,526.0,9052.0,9119.0,705.0,9824.0,7802.0,824.0,8626.0,8955.0,740.0,9695.0,8482.0,699.0,9181.0,10917.0,1989.0,12906.0,12656.0,787.0,13443.0,15732.0,2909.0,18641.0,8375.0,1398.0,9773.0,7699.0,803.0,8502.0,5579.0,739.0,6318.0,13174.0,1329.0,14503.0,18915.0,1519.0,20434.0,22506.0,1829.0,24335.0,26220.0,2654.0,28874.0,25219.0,3100.0,28319.0,24410.0,2680.0,27090.0,23172.0,2460.0,25632.0,21844.0,2483.0,24327.0,21958.0,2426.0,24384.0,19434.0,1269.0,20703.0,18997.0,1567.0,20564.0,24274.0,1728.0,26002.0
21,IND,2015,22959.0,1155.0,24114.0,17812.0,763.0,18575.0,19526.0,773.0,20299.0,18075.0,572.0,18647.0,8354.0,690.0,9044.0,8822.0,862.0,9684.0,7356.0,1187.0,8543.0,8510.0,1258.0,9768.0,8075.0,1116.0,9191.0,9940.0,2653.0,12593.0,12453.0,1101.0,13554.0,14494.0,3733.0,18227.0,8024.0,1789.0,9813.0,7381.0,1081.0,8462.0,5383.0,1074.0,6457.0,11572.0,1372.0,12944.0,17511.0,1384.0,18895.0,22242.0,1853.0,24095.0,26270.0,2409.0,28679.0,25202.0,2173.0,27375.0,24229.0,2242.0,26471.0,23079.0,2229.0,25308.0,21721.0,1940.0,23661.0,21802.0,2164.0,23966.0,19328.0,1214.0,20542.0,18933.0,1424.0,20357.0,24606.0,1406.0,26012.0
22,IND,2016,23088.0,1612.0,24700.0,17901.0,1057.0,18958.0,19560.0,947.0,20507.0,18078.0,712.0,18790.0,8386.0,559.0,8945.0,8725.0,663.0,9388.0,6760.0,984.0,7744.0,7837.0,1066.0,8903.0,7352.0,983.0,8335.0,9561.0,2316.0,11877.0,12186.0,955.0,13141.0,14146.0,3060.0,17206.0,8011.0,1485.0,9496.0,7346.0,902.0,8248.0,5338.0,1012.0,6350.0,11774.0,1494.0,13268.0,17770.0,1674.0,19444.0,22386.0,2186.0,24572.0,26094.0,2830.0,28924.0,25128.0,2850.0,27978.0,,,,22867.0,2952.0,25819.0,21489.0,2583.0,24072.0,21486.0,2616.0,24102.0,19211.0,1731.0,20942.0,18946.0,1672.0,20618.0,24721.0,1518.0,26239.0
23,IND,2017,23411.0,950.0,24361.0,18169.0,598.0,18767.0,19959.0,591.0,20550.0,18289.0,374.0,18663.0,8784.0,556.0,9340.0,9029.0,748.0,9777.0,7233.0,1012.0,8245.0,8884.0,1052.0,9936.0,8132.0,1023.0,9155.0,9738.0,2521.0,12259.0,12878.0,1151.0,14029.0,14348.0,3334.0,17682.0,7986.0,1679.0,9665.0,7607.0,956.0,8563.0,5495.0,1083.0,6578.0,12528.0,1398.0,13926.0,18555.0,1442.0,19997.0,23333.0,1324.0,24657.0,26617.0,1851.0,28468.0,25728.0,1902.0,27630.0,24723.0,1986.0,26709.0,,,,21793.0,1446.0,23239.0,22142.0,1884.0,24026.0,19554.0,1021.0,20575.0,19195.0,1567.0,20762.0,25447.0,1172.0,26619.0
24,IND,2018,23245.0,1545.0,24790.0,18008.0,1043.0,19051.0,19370.0,1255.0,20625.0,17455.0,1269.0,18724.0,8662.0,643.0,9305.0,8905.0,789.0,9694.0,6971.0,1166.0,8137.0,8649.0,1245.0,9894.0,7952.0,1160.0,9112.0,9287.0,2749.0,12036.0,12817.0,1259.0,14076.0,13703.0,3629.0,17332.0,7730.0,1816.0,9546.0,7544.0,946.0,8490.0,5539.0,1077.0,6616.0,12216.0,1430.0,13646.0,18013.0,1658.0,19671.0,22973.0,1995.0,24968.0,26423.0,2350.0,28773.0,25382.0,2570.0,27952.0,24589.0,2646.0,27235.0,23179.0,2183.0,25362.0,21646.0,2032.0,23678.0,21997.0,2496.0,24493.0,19377.0,1533.0,20910.0,19155.0,1602.0,20757.0,25525.0,1433.0,26958.0
25,GRE,2014,948.0,73.0,1021.0,695.0,36.0,731.0,710.0,39.0,749.0,679.0,23.0,702.0,238.0,14.0,252.0,432.0,29.0,461.0,811.0,112.0,923.0,534.0,60.0,594.0,652.0,70.0,722.0,674.0,95.0,769.0,494.0,28.0,522.0,1093.0,187.0,1280.0,603.0,81.0,684.0,444.0,41.0,485.0,156.0,24.0,180.0,360.0,43.0,403.0,636.0,78.0,714.0,894.0,95.0,989.0,1714.0,215.0,1929.0,1066.0,208.0,1274.0,995.0,149.0,1144.0,1030.0,152.0,1182.0,1391.0,205.0,1596.0,1227.0,164.0,1391.0,1084.0,88.0,1172.0,1101.0,115.0,1216.0,1055.0,97.0,1152.0
26,GRE,2015,1014.0,55.0,1069.0,721.0,37.0,758.0,741.0,41.0,782.0,719.0,31.0,750.0,263.0,17.0,280.0,441.0,31.0,472.0,810.0,151.0,961.0,543.0,96.0,639.0,668.0,105.0,773.0,704.0,131.0,835.0,564.0,39.0,603.0,1034.0,261.0,1295.0,637.0,116.0,753.0,477.0,54.0,531.0,189.0,37.0,226.0,389.0,44.0,433.0,716.0,71.0,787.0,919.0,99.0,1018.0,1833.0,202.0,2035.0,1187.0,132.0,1319.0,1056.0,138.0,1194.0,1094.0,132.0,1226.0,1469.0,143.0,1612.0,1294.0,162.0,1456.0,1144.0,94.0,1238.0,1194.0,138.0,1332.0,1108.0,105.0,1213.0
27,GRE,2016,1008.0,88.0,1096.0,774.0,54.0,828.0,761.0,50.0,811.0,801.0,35.0,836.0,290.0,20.0,310.0,481.0,23.0,504.0,743.0,129.0,872.0,523.0,71.0,594.0,677.0,83.0,760.0,670.0,109.0,779.0,578.0,36.0,614.0,985.0,203.0,1188.0,681.0,104.0,785.0,497.0,40.0,537.0,226.0,43.0,269.0,424.0,43.0,467.0,735.0,87.0,822.0,1048.0,122.0,1170.0,1749.0,231.0,1980.0,1229.0,175.0,1404.0,,,,1091.0,186.0,1277.0,1407.0,197.0,1604.0,1320.0,192.0,1512.0,1134.0,125.0,1259.0,1272.0,152.0,1424.0,1212.0,104.0,1316.0
